Date,Count
07.06.18,1
09.06.18,4
10.06.18,1
11.06.18,1
12.06.18,1
16.06.18,2
17.06.18,3
19.06.18,1
23.06.18,3
24.06.18,2
25.06.18,1
26.06.18,1
27.06.18,1
30.06.18,2
01.07.18,3
03.07.18,1
05.07.18,1
06.07.18,3
07.07.18,2
08.07.18,1
09.07.18,1
11.07.18,2
14.07.18,2
15.07.18,2
17.07.18,2
18.07.18,1
20.07.18,1
21.07.18,1
22.07.18,1
23.07.18,1
28.07.18,3
29.07.18,2
30.07.18,3
31.07.18,2
04.08.18,2
05.08.18,1
10.08.18,1
11.08.18,5
12.08.18,2
17.08.18,1
18.08.18,2
19.08.18,1
20.08.18,2
22.08.18,1
23.08.18,2
25.08.18,3
26.08.18,1
31.08.18,1
01.09.18,1
02.09.18,2
06.09.18,1
08.09.18,2
09.09.18,1
10.09.18,2
11.09.18,1
13.09.18,1
16.09.18,1
17.09.18,1
23.09.18,1
26.09.18,1
27.09.18,1
30.09.18,1
02.10.18,1
06.10.18,2
07.10.18,1
14.10.18,1
21.10.18,1
24.10.18,1
28.10.18,1
30.10.18,1
30.10.20,0
05.01.19,1
23.01.19,0
07.04.19,1
12.04.19,1
14.04.19,1
20.04.19,1
21.04.19,1
24.04.19,1
27.04.19,1
28.04.19,1
04.05.19,1
09.05.19,1
10.05.19,2
11.05.19,2
13.05.19,1
14.05.19,2
16.05.19,2
17.05.19,1
18.05.19,1
19.05.19,1
20.05.19,2
22.05.19,1
24.05.19,3
26.05.19,1
27.05.19,1
28.05.19,2
29.05.19,1
30.05.19,1
31.05.19,1
01.06.19,2
02.06.19,2
05.06.19,1
06.06.19,3
07.06.19,1
08.06.19,3
09.06.19,1
10.06.19,1
13.06.19,1
15.06.19,3
16.06.19,2
18.06.19,1
20.06.19,1
22.06.19,3
23.06.19,3
24.06.19,1
25.06.19,1
28.06.19,1
29.06.19,3
30.06.19,2
01.07.19,2
03.07.19,1
04.07.19,1
06.07.19,2
09.07.19,2
10.07.19,1
12.07.19,1
13.07.19,3
14.07.19,2
15.07.19,1
16.07.19,1
19.07.19,2
20.07.19,2
21.07.19,1
22.07.19,1
25.07.19,1
27.07.19,3
28.07.19,2
29.07.19,1
30.07.19,1
31.07.19,1
01.08.19,1
02.08.19,1
03.08.19,2
05.08.19,1
08.08.19,2
09.08.19,1
10.08.19,2
11.08.19,1
13.08.19,1
15.08.19,1
17.08.19,4
18.08.19,1
20.08.19,2
24.08.19,2
25.08.19,1
27.08.19,1
28.08.19,1
30.08.19,2
31.08.19,2
01.09.19,2
02.09.19,1
05.09.19,1
07.09.19,3
08.09.19,1
10.09.19,1
11.09.19,1
12.09.19,1
14.09.19,2
15.09.19,1
18.09.19,2
19.09.19,1
21.09.19,1
21.08.19,1
22.08.19,1
26.09.19,1
27.09.19,1
28.09.19,1
29.09.19,2
03.10.19,1
05.10.19,1
08.10.19,1
12.10.19,1
27.07.20,0
